At,Heartrate
12/01/2024 12:16:05,95
12/01/2024 12:16:07,94
12/01/2024 12:16:08,95
12/01/2024 12:16:09,94
12/01/2024 12:16:12,96
12/01/2024 12:16:16,97
12/01/2024 12:16:17,98
12/01/2024 12:16:22,98
12/01/2024 12:16:27,97
12/01/2024 12:16:29,96
12/01/2024 12:16:30,95
12/01/2024 12:16:33,96
